Season,Squad,W,D,L,GF,GA,Pts,Sh
1996/1997,Leicester City,12,11,15,46,54,47,
1996/1997,Tottenham,13,7,18,44,51,46,
1996/1997,Leeds United,11,13,14,28,38,46,
1996/1997,Derby County,11,13,14,45,58,46,
1996/1997,Blackburn,9,15,14,42,43,42,
1996/1997,West Ham,10,12,16,39,48,42,
1996/1997,Everton,10,12,16,44,57,42,
1996/1997,Southampton,10,11,17,50,56,41,
1996/1997,Coventry City,9,14,15,38,54,41,
1996/1997,Sunderland,10,10,18,35,53,40,
1996/1997,Middlesbrough,10,12,16,51,60,39,
1996/1997,Nott'ham Forest,6,16,16,31,59,34,
1995/1996,Manchester Utd,25,7,6,73,35,82,
1995/1996,Newcastle Utd,24,6,8,66,37,78,
1995/1996,Liverpool,20,11,7,70,34,71,
1995/1996,Aston Villa,18,9,11,52,35,63,
1995/1996,Arsenal,17,12,9,49,32,63,
1995/1996,Everton,17,10,11,64,44,61,
1995/1996,Blackburn,18,7,13,61,47,61,
1995/1996,Tottenham,16,13,9,50,38,61,
1995/1996,Nott'ham Forest,15,13,10,50,54,58,
1995/1996,West Ham,14,9,15,43,52,51,
1995/1996,Chelsea,12,14,12,46,44,50,
1995/1996,Middlesbrough,11,10,17,35,50,43,
1995/1996,Leeds United,12,7,19,40,57,43,
1995/1996,Wimbledon,10,11,17,55,70,41,
1995/1996,Sheffield Weds,10,10,18,48,61,40,
1995/1996,Coventry City,8,14,16,42,60,38,
1995/1996,Southampton,9,11,18,34,52,38,
1995/1996,Manchester City,9,11,18,33,58,38,
1995/1996,QPR,9,6,23,38,57,33,
1995/1996,Bolton,8,5,25,39,71,29,
1994/1995,Blackburn,27,8,7,80,39,89,
1994/1995,Manchester Utd,26,10,6,77,29,88,
1994/1995,Nott'ham Forest,22,11,9,72,43,77,
1994/1995,Liverpool,21,11,10,65,37,74,
1994/1995,Leeds United,20,13,9,59,38,73,
1994/1995,Newcastle Utd,20,12,10,67,47,72,
1994/1995,Tottenham,16,14,12,66,58,62,
1994/1995,QPR,17,9,16,61,59,60,
1994/1995,Wimbledon,15,11,16,48,65,56,
1994/1995,Southampton,12,18,12,61,63,54,
1994/1995,Chelsea,13,15,14,50,55,54,
1994/1995,Arsenal,13,12,17,53,49,51,
1994/1995,Sheffield Weds,13,12,17,49,57,51,
1994/1995,West Ham,13,11,18,44,48,50,
1994/1995,Everton,11,17,14,44,51,50,
1994/1995,Coventry City,12,14,16,44,62,50,
1994/1995,Manchester City,12,13,17,53,64,49,
1994/1995,Aston Villa,11,15,16,51,56,48,
1994/1995,Crystal Palace,11,12,19,34,49,45,
1994/1995,Norwich City,10,13,19,37,54,43,
1994/1995,Leicester City,6,11,25,45,80,29,
1994/1995,Ipswich Town,7,6,29,36,93,27,
1993/1994,Manchester Utd,27,11,4,80,38,92,
1993/1994,Blackburn,25,9,8,63,36,84,
1993/1994,Newcastle Utd,23,8,11,82,41,77,
1993/1994,Arsenal,18,17,7,53,28,71,
1993/1994,Leeds United,18,16,8,65,39,70,
1993/1994,Wimbledon,18,11,13,56,53,65,
1993/1994,Sheffield Weds,16,16,10,76,54,64,
1993/1994,Liverpool,17,9,16,59,55,60,
1993/1994,QPR,16,12,14,62,61,60,
1993/1994,Aston Villa,15,12,15,46,50,57,
1993/1994,Coventry City,14,14,14,43,45,56,
1993/1994,Norwich City,12,17,13,65,61,53,
1993/1994,West Ham,13,13,16,47,58,52,
1993/1994,Chelsea,13,12,17,49,53,51,
1993/1994,Tottenham,11,12,19,54,59,45,
1993/1994,Manchester City,9,18,15,38,49,45,
1993/1994,Everton,12,8,22,42,63,44,
1993/1994,Southampton,12,7,23,49,66,43,
1993/1994,Ipswich Town,9,16,17,35,58,43,
1993/1994,Sheffield Utd,8,18,16,42,60,42,
1993/1994,Oldham Athletic,9,13,20,42,68,40,
1993/1994,Swindon Town,5,15,22,47,100,30,
1992/1993,Manchester Utd,24,12,6,67,31,84,
1992/1993,Aston Villa,21,11,10,57,40,74,
1992/1993,Norwich City,21,9,12,61,65,72,
1992/1993,Blackburn,20,11,11,68,46,71,
1992/1993,QPR,17,12,13,63,55,63,
1992/1993,Liverpool,16,11,15,62,55,59,
1992/1993,Sheffield Weds,15,14,13,55,51,59,
1992/1993,Tottenham,16,11,15,60,66,59,
1992/1993,Manchester City,15,12,15,56,51,57,
1992/1993,Arsenal,15,11,16,40,38,56,
1992/1993,Chelsea,14,14,14,51,54,56,
1992/1993,Wimbledon,14,12,16,56,55,54,
1992/1993,Everton,15,8,19,53,55,53,
1992/1993,Sheffield Utd,14,10,18,54,53,52,
1992/1993,Coventry City,13,13,16,52,57,52,
1992/1993,Ipswich Town,12,16,14,50,55,52,
1992/1993,Leeds United,12,15,15,57,62,51,
1992/1993,Southampton,13,11,18,54,61,50,
1992/1993,Oldham Athletic,13,10,19,63,74,49,
1992/1993,Crystal Palace,11,16,15,48,61,49,
1992/1993,Middlesbrough,11,11,20,54,75,44,
1992/1993,Nott'ham Forest,10,10,22,41,62,40,
1991/1992,Leeds United,22,16,4,74,37,82,
1991/1992,Manchester Utd,21,15,6,63,33,78,
1991/1992,Sheffield Weds,21,12,9,62,49,75,
1991/1992,Arsenal,19,15,8,81,46,72,
1991/1992,Manchester City,20,10,12,61,48,70,
1991/1992,Liverpool,16,16,10,47,40,64,
1991/1992,Aston Villa,17,9,16,48,44,60,
1991/1992,Nott'ham Forest,16,11,15,60,58,59,
1991/1992,Sheffield Utd,16,9,17,65,63,57,
1991/1992,Crystal Palace,14,15,13,53,61,57,
1991/1992,QPR,12,18,12,48,47,54,
1991/1992,Everton,13,14,15,52,51,53,
1991/1992,Wimbledon,13,14,15,53,53,53,
1991/1992,Chelsea,13,14,15,50,60,53,
1991/1992,Tottenham,15,7,20,58,63,52,
1991/1992,Southampton,14,10,18,39,55,52,
1991/1992,Oldham Athletic,14,9,19,63,67,51,
1991/1992,Norwich City,11,12,19,47,63,45,
1991/1992,Coventry City,11,11,20,35,44,44,
1991/1992,Luton Town,10,12,20,38,71,42,
1991/1992,Notts County,10,10,22,40,62,40,
1991/1992,West Ham,9,11,22,37,59,38,
1990/1991,Arsenal,24,13,1,74,18,83,
1990/1991,Liverpool,23,7,8,77,40,76,
1990/1991,Crystal Palace,20,9,9,50,41,69,
1990/1991,Leeds United,19,7,12,65,47,64,
1990/1991,Manchester City,17,11,10,64,53,62,
1990/1991,Manchester Utd,16,12,10,58,45,59,
1990/1991,Wimbledon,14,14,10,53,46,56,
1990/1991,Nott'ham Forest,14,12,12,65,50,54,
1990/1991,Everton,13,12,13,50,46,51,
1990/1991,Tottenham,11,16,11,51,50,49,
1990/1991,Chelsea,13,10,15,58,69,49,
1990/1991,QPR,12,10,16,44,53,46,
1990/1991,Sheffield Utd,13,7,18,36,55,46,
1990/1991,Southampton,12,9,17,58,69,45,
1990/1991,Norwich City,13,6,19,41,64,45,
1990/1991,Coventry City,11,11,16,42,49,44,
1990/1991,Aston Villa,9,14,15,46,58,41,
1990/1991,Luton Town,10,7,21,42,61,37,
1990/1991,Sunderland,8,10,20,38,60,34,
1990/1991,Derby County,5,9,24,37,75,24,
1989/1990,Liverpool,23,10,5,78,37,79,
1989/1990,Aston Villa,21,7,10,57,38,70,
1989/1990,Tottenham,19,6,13,59,47,63,
1989/1990,Arsenal,18,8,12,54,38,62,
1989/1990,Chelsea,16,12,10,58,50,60,
1989/1990,Everton,17,8,13,57,46,59,
1989/1990,Southampton,15,10,13,71,63,55,
1989/1990,Wimbledon,13,16,9,47,40,55,
1989/1990,Nott'ham Forest,15,9,14,55,47,54,
1989/1990,Norwich City,13,14,11,44,42,53,
1989/1990,QPR,13,11,14,45,44,50,
1989/1990,Coventry City,14,7,17,39,59,49,
1989/1990,Manchester Utd,13,9,16,46,47,48,
1989/1990,Manchester City,12,12,14,43,52,48,
1989/1990,Crystal Palace,13,9,16,42,66,48,
1989/1990,Derby County,13,7,18,43,40,46,
1989/1990,Luton Town,10,13,15,43,57,43,
1989/1990,Sheffield Weds,11,10,17,35,51,43,
1989/1990,Charlton Ath,7,9,22,31,57,30,
1989/1990,Millwall,5,11,22,39,65,26,
1988/1989,Arsenal,22,10,6,73,36,76,
1988/1989,Liverpool,22,10,6,65,28,76,
1988/1989,Nott'ham Forest,17,13,8,64,43,64,
1988/1989,Norwich City,17,11,10,48,45,62,
1988/1989,Derby County,17,7,14,40,38,58,
1988/1989,Tottenham,15,12,11,60,46,57,
1988/1989,Coventry City,14,13,11,47,42,55,
1988/1989,Everton,14,12,12,50,45,54,
1988/1989,QPR,14,11,13,43,37,53,
1988/1989,Millwall,14,11,13,47,52,53,
1988/1989,Manchester Utd,13,12,13,45,35,51,
1988/1989,Wimbledon,14,9,15,50,46,51,
1988/1989,Southampton,10,15,13,52,66,45,
1988/1989,Charlton Ath,10,12,16,44,58,42,
1988/1989,Sheffield Weds,10,12,16,34,51,42,
1988/1989,Luton Town,10,11,17,42,52,41,
1988/1989,Aston Villa,9,13,16,45,56,40,
1988/1989,Middlesbrough,9,12,17,44,61,39,
1988/1989,West Ham,10,8,20,37,62,38,
1988/1989,Newcastle Utd,7,10,21,32,63,31,
1987/1988,Liverpool,26,12,2,87,24,90,
1987/1988,Manchester Utd,23,12,5,71,38,81,
1987/1988,Nott'ham Forest,20,13,7,67,39,73,
1987/1988,Everton,19,13,8,53,27,70,
1987/1988,QPR,19,10,11,48,38,67,
1987/1988,Arsenal,18,12,10,58,39,66,
1987/1988,Wimbledon,14,15,11,58,47,57,
1987/1988,Newcastle Utd,14,14,12,55,53,56,
1987/1988,Luton Town,14,11,15,57,58,53,
1987/1988,Coventry City,13,14,13,46,53,53,
1987/1988,Sheffield Weds,15,8,17,52,66,53,
1987/1988,Southampton,12,14,14,49,53,50,
1987/1988,Tottenham,12,11,17,38,48,47,
1987/1988,Norwich City,12,9,19,40,52,45,
1987/1988,Derby County,10,13,17,35,45,43,
1987/1988,West Ham,9,15,16,40,52,42,
1987/1988,Charlton Ath,9,15,16,38,52,42,
1987/1988,Chelsea,9,15,16,50,68,42,
1987/1988,Portsmouth,7,14,19,36,66,35,
1987/1988,Watford,7,11,22,27,51,32,
1987/1988,Oxford United,6,13,21,44,80,31,
1986/1987,Everton,26,8,8,76,31,86,
1986/1987,Liverpool,23,8,11,72,42,77,
1986/1987,Tottenham,21,8,13,68,43,71,
1986/1987,Arsenal,20,10,12,58,35,70,
1986/1987,Norwich City,17,17,8,53,51,68,
1986/1987,Wimbledon,19,9,14,57,50,66,
1986/1987,Luton Town,18,12,12,47,45,66,
1986/1987,Nott'ham Forest,18,11,13,64,51,65,
1986/1987,Watford,18,9,15,67,54,63,
1986/1987,Coventry City,17,12,13,50,45,63,
1986/1987,Manchester Utd,14,14,14,52,45,56,
1986/1987,Southampton,14,10,18,69,68,52,
1986/1987,Sheffield Weds,13,13,16,58,59,52,
1986/1987,Chelsea,13,13,16,53,64,52,
1986/1987,West Ham,14,10,18,52,67,52,
1986/1987,QPR,13,11,18,48,64,50,
1986/1987,Newcastle Utd,12,11,19,47,65,47,
1986/1987,Oxford United,11,13,18,44,69,46,
1986/1987,Charlton Ath,11,11,20,45,55,44,
1986/1987,Leicester City,11,9,22,54,76,42,
1986/1987,Manchester City,8,15,19,36,57,39,
1986/1987,Aston Villa,8,12,22,45,79,36,
1985/1986,Liverpool,26,10,6,89,37,88,
1985/1986,Everton,26,8,8,87,41,86,
1985/1986,West Ham,26,6,10,74,40,84,
1985/1986,Manchester Utd,22,10,10,70,36,76,
1985/1986,Sheffield Weds,21,10,11,63,54,73,
1985/1986,Chelsea,20,11,11,57,56,71,
1985/1986,Arsenal,20,9,13,49,47,69,
1985/1986,Nott'ham Forest,19,11,12,69,53,68,
1985/1986,Luton Town,18,12,12,61,44,66,
1985/1986,Tottenham,19,8,15,74,52,65,
1985/1986,Newcastle Utd,17,12,13,67,72,63,
1985/1986,Watford,16,11,15,69,62,59,
1985/1986,QPR,15,7,20,53,64,52,
1985/1986,Southampton,12,10,20,51,62,46,
1985/1986,Manchester City,11,12,19,43,57,45,
1985/1986,Aston Villa,10,14,18,51,67,44,
1985/1986,Coventry City,11,10,21,48,71,43,
1985/1986,Oxford United,10,12,20,62,80,42,
1985/1986,Leicester City,10,12,20,54,76,42,
1985/1986,Ipswich Town,11,8,23,32,55,41,
1985/1986,Birmingham City,8,5,29,30,73,29,
1985/1986,West Brom,4,12,26,35,89,24,
1984/1985,Everton,28,6,8,88,43,90,
1984/1985,Liverpool,22,11,9,68,35,77,
1984/1985,Tottenham,23,8,11,78,51,77,
1984/1985,Manchester Utd,22,10,10,77,47,76,
1984/1985,Southampton,19,11,12,56,47,68,
1984/1985,Chelsea,18,12,12,63,48,66,
1984/1985,Arsenal,19,9,14,61,49,66,
1984/1985,Sheffield Weds,17,14,11,58,45,65,
1984/1985,Nott'ham Forest,19,7,16,56,48,64,
1984/1985,Aston Villa,15,11,16,60,60,56,
1984/1985,Watford,14,13,15,81,71,55,
1984/1985,West Brom,16,7,19,58,62,55,
1984/1985,Luton Town,15,9,18,57,61,54,
1984/1985,Newcastle Utd,13,13,16,55,70,52,
1984/1985,Leicester City,15,6,21,65,73,51,
1984/1985,West Ham,13,12,17,51,68,51,
1984/1985,Ipswich Town,13,11,18,46,57,50,
1984/1985,Coventry City,15,5,22,47,64,50,
1984/1985,QPR,13,11,18,53,72,50,
1984/1985,Norwich City,13,10,19,46,64,49,
1984/1985,Sunderland,10,10,22,40,62,40,
1984/1985,Stoke City,3,8,31,24,91,17,
1983/1984,Liverpool,22,14,6,73,32,80,
1983/1984,Southampton,22,11,9,66,38,77,
1983/1984,Nott'ham Forest,22,8,12,76,45,74,
1983/1984,Manchester Utd,20,14,8,71,41,74,
1983/1984,QPR,22,7,13,67,37,73,
1983/1984,Arsenal,18,9,15,74,60,63,
1983/1984,Everton,16,14,12,44,42,62,
1983/1984,Tottenham,17,10,15,64,65,61,
1983/1984,West Ham,17,9,16,60,55,60,
1983/1984,Aston Villa,17,9,16,59,61,60,
1983/1984,Watford,16,9,17,68,77,57,
1983/1984,Ipswich Town,15,8,19,55,57,53,
1983/1984,Sunderland,13,13,16,42,53,52,
1983/1984,Norwich City,12,15,15,48,49,51,
1983/1984,Leicester City,13,12,17,65,68,51,
1983/1984,Luton Town,14,9,19,53,66,51,
1983/1984,West Brom,14,9,19,48,62,51,
1983/1984,Stoke City,13,11,18,44,63,50,
1983/1984,Coventry City,13,11,18,57,77,50,
1983/1984,Birmingham City,12,12,18,39,50,48,
1983/1984,Notts County,10,11,21,50,72,41,
1983/1984,Wolves,6,11,25,27,80,29,
1982/1983,Liverpool,24,10,8,87,37,82,
1982/1983,Watford,22,5,15,74,57,71,
1982/1983,Manchester Utd,19,13,10,56,38,70,
1982/1983,Tottenham,20,9,13,65,50,69,
1982/1983,Nott'ham Forest,20,9,13,62,50,69,
1982/1983,Aston Villa,21,5,16,62,50,68,
1982/1983,Everton,18,10,14,66,48,64,
1982/1983,West Ham,20,4,18,68,62,64,
1982/1983,Ipswich Town,15,13,14,64,50,58,
1982/1983,Arsenal,16,10,16,58,56,58,
1982/1983,West Brom,15,12,15,51,49,57,
1982/1983,Southampton,15,12,15,54,58,57,
1982/1983,Stoke City,16,9,17,53,64,57,
1982/1983,Norwich City,14,12,16,52,58,54,
1982/1983,Notts County,15,7,20,55,71,52,
1982/1983,Sunderland,12,14,16,48,61,50,
1982/1983,Birmingham City,12,14,16,40,55,50,
1982/1983,Luton Town,12,13,17,65,84,49,
1982/1983,Coventry City,13,9,20,48,59,48,
1982/1983,Manchester City,13,8,21,47,70,47,
1982/1983,Swansea City,10,11,21,51,69,41,
1982/1983,Brighton,9,13,20,38,68,40,
1981/1982,Liverpool,26,9,7,80,32,87,
1981/1982,Ipswich Town,26,5,11,75,53,83,
1981/1982,Manchester Utd,22,12,8,59,29,78,
1981/1982,Tottenham,20,11,11,67,48,71,
1981/1982,Arsenal,20,11,11,48,37,71,
1981/1982,Swansea City,21,6,15,58,51,69,
1981/1982,Southampton,19,9,14,72,67,66,
1981/1982,Everton,17,13,12,56,50,64,
1981/1982,West Ham,14,16,12,66,57,58,
1981/1982,Manchester City,15,13,14,49,50,58,
1981/1982,Aston Villa,15,12,15,55,53,57,
1981/1982,Nott'ham Forest,15,12,15,42,48,57,
1981/1982,Brighton,13,13,16,43,52,52,
1981/1982,Coventry City,13,11,18,56,62,50,
1981/1982,Notts County,13,8,21,61,69,47,
1981/1982,Birmingham City,10,14,18,53,61,44,
1981/1982,West Brom,11,11,20,46,57,44,
1981/1982,Stoke City,12,8,22,44,63,44,
1981/1982,Sunderland,11,11,20,38,58,44,
1981/1982,Leeds United,10,12,20,39,61,42,
1981/1982,Wolves,10,10,22,32,63,40,
1981/1982,Middlesbrough,8,15,19,34,52,39,
1980/1981,Aston Villa,26,8,8,72,40,60,
1980/1981,Ipswich Town,23,10,9,77,43,56,
1980/1981,Arsenal,19,15,8,61,45,53,
1980/1981,West Brom,20,12,10,60,42,52,
1980/1981,Liverpool,17,17,8,62,42,51,
1980/1981,Southampton,20,10,12,76,56,50,
1980/1981,Nott'ham Forest,19,12,11,62,44,50,
1980/1981,Manchester Utd,15,18,9,51,36,48,
1980/1981,Leeds United,17,10,15,39,47,44,
1980/1981,Tottenham,14,15,13,70,68,43,
1980/1981,Stoke City,12,18,12,51,60,42,
1980/1981,Manchester City,14,11,17,56,59,39,
1980/1981,Birmingham City,13,12,17,50,61,38,
1980/1981,Middlesbrough,16,5,21,53,61,37,
1980/1981,Everton,13,10,19,55,58,36,
1980/1981,Coventry City,13,10,19,48,68,36,
1980/1981,Sunderland,14,7,21,52,53,35,
1980/1981,Wolves,13,9,20,43,55,35,
1980/1981,Brighton,14,7,21,54,67,35,
1980/1981,Norwich City,13,7,22,49,73,33,
1980/1981,Leicester City,13,6,23,40,67,32,
1980/1981,Crystal Palace,6,7,29,47,83,19,
1979/1980,Liverpool,25,10,7,81,30,60,
1979/1980,Manchester Utd,24,10,8,65,35,58,
1979/1980,Ipswich Town,22,9,11,68,39,53,
1979/1980,Arsenal,18,16,8,52,36,52,
1979/1980,Nott'ham Forest,20,8,14,63,43,48,
1979/1980,Wolves,19,9,14,58,47,47,
1979/1980,Aston Villa,16,14,12,51,50,46,
1979/1980,Southampton,18,9,15,65,53,45,
1979/1980,Middlesbrough,16,12,14,50,44,44,
1979/1980,West Brom,11,19,12,54,50,41,
1979/1980,Leeds United,13,14,15,46,50,40,
1979/1980,Norwich City,13,14,15,58,66,40,
1979/1980,Crystal Palace,12,16,14,41,50,40,
1979/1980,Tottenham,15,10,17,52,62,40,
1979/1980,Coventry City,16,7,19,56,66,39,
1979/1980,Brighton,11,15,16,47,57,37,
1979/1980,Manchester City,12,13,17,43,66,37,
1979/1980,Stoke City,13,10,19,44,58,36,
1979/1980,Everton,9,17,16,43,51,35,
1979/1980,Bristol City,9,13,20,37,66,31,
1979/1980,Derby County,11,8,23,47,67,30,
1979/1980,Bolton,5,15,22,38,73,25,
1978/1979,Liverpool,30,8,4,85,16,68,
1978/1979,Nott'ham Forest,21,18,3,61,26,60,
1978/1979,West Brom,24,11,7,72,35,59,
1978/1979,Everton,17,17,8,52,40,51,
1978/1979,Leeds United,18,14,10,70,52,50,
1978/1979,Ipswich Town,20,9,13,63,49,49,
1978/1979,Arsenal,17,14,11,61,48,48,
1978/1979,Aston Villa,15,16,11,59,49,46,
1978/1979,Manchester Utd,15,15,12,60,63,45,
1978/1979,Coventry City,14,16,12,58,68,44,
1978/1979,Tottenham,13,15,14,48,61,41,
1978/1979,Middlesbrough,15,10,17,57,50,40,
1978/1979,Bristol City,15,10,17,47,51,40,
1978/1979,Southampton,12,16,14,47,53,40,
1978/1979,Manchester City,13,13,16,58,56,39,
1978/1979,Norwich City,7,23,12,51,57,37,
1978/1979,Bolton,12,11,19,54,75,35,
1978/1979,Wolves,13,8,21,44,68,34,
1978/1979,Derby County,10,11,21,44,71,31,
1978/1979,QPR,6,13,23,45,73,25,
1978/1979,Birmingham City,6,10,26,37,64,22,
1978/1979,Chelsea,5,10,27,44,92,20,
1977/1978,Nott'ham Forest,25,14,3,69,24,64,
1977/1978,Liverpool,24,9,9,65,34,57,
1977/1978,Everton,22,11,9,76,45,55,
1977/1978,Manchester City,20,12,10,74,51,52,
1977/1978,Arsenal,21,10,11,60,37,52,
1977/1978,West Brom,18,14,10,62,53,50,
1977/1978,Coventry City,18,12,12,75,62,48,
1977/1978,Aston Villa,18,10,14,57,42,46,
1977/1978,Leeds United,18,10,14,63,53,46,
1977/1978,Manchester Utd,16,10,16,67,63,42,
1977/1978,Birmingham City,16,9,17,55,60,41,
1977/1978,Derby County,14,13,15,54,59,41,
1977/1978,Norwich City,11,18,13,52,66,40,
1977/1978,Middlesbrough,12,15,15,42,54,39,
1977/1978,Wolves,12,12,18,51,64,36,
1977/1978,Chelsea,11,14,17,46,69,36,
1977/1978,Bristol City,11,13,18,49,53,35,
1977/1978,Ipswich Town,11,13,18,47,61,35,
1977/1978,QPR,9,15,18,47,64,33,
1977/1978,West Ham,12,8,22,52,69,32,
1977/1978,Newcastle Utd,6,10,26,42,78,22,
1977/1978,Leicester City,5,12,25,26,70,22,
1976/1977,Liverpool,23,11,8,62,33,57,
1976/1977,Manchester City,21,14,7,60,34,56,
1976/1977,Ipswich Town,22,8,12,66,39,52,
1976/1977,Aston Villa,22,7,13,76,50,51,
1976/1977,Newcastle Utd,18,13,11,64,49,49,
1976/1977,Manchester Utd,18,11,13,71,62,47,
1976/1977,West Brom,16,13,13,62,56,45,
1976/1977,Arsenal,16,11,15,64,59,43,
1976/1977,Everton,14,14,14,62,64,42,
1976/1977,Leeds United,15,12,15,48,51,42,
1976/1977,Leicester City,12,18,12,47,60,42,
1976/1977,Middlesbrough,14,13,15,40,45,41,
1976/1977,Birmingham City,13,12,17,63,61,38,
1976/1977,QPR,13,12,17,47,52,38,
1976/1977,Derby County,9,19,14,50,55,37,
1976/1977,Norwich City,14,9,19,47,64,37,
1976/1977,West Ham,11,14,17,46,65,36,
1976/1977,Bristol City,11,13,18,38,48,35,
1976/1977,Coventry City,10,15,17,48,59,35,
1976/1977,Sunderland,11,12,19,46,54,34,
1976/1977,Stoke City,10,14,18,28,51,34,
1976/1977,Tottenham,12,9,21,48,72,33,
1975/1976,Liverpool,23,14,5,66,31,60,
1975/1976,QPR,24,11,7,67,33,59,
1975/1976,Manchester Utd,23,10,9,68,42,56,
1975/1976,Derby County,21,11,10,75,58,53,
1975/1976,Leeds United,21,9,12,65,46,51,
1975/1976,Ipswich Town,16,14,12,54,48,46,
1975/1976,Leicester City,13,19,10,48,51,45,
1975/1976,Manchester City,16,11,15,64,46,43,
1975/1976,Tottenham,14,15,13,63,63,43,
1975/1976,Norwich City,16,10,16,58,58,42,
1975/1976,Everton,15,12,15,60,66,42,
1975/1976,Stoke City,15,11,16,48,50,41,
1975/1976,Middlesbrough,15,10,17,46,45,40,
1975/1976,Coventry City,13,14,15,47,57,40,
1975/1976,Newcastle Utd,15,9,18,71,62,39,
1975/1976,Aston Villa,11,17,14,51,59,39,
1975/1976,Arsenal,13,10,19,47,53,36,
1975/1976,West Ham,13,10,19,48,71,36,
1975/1976,Birmingham City,13,7,22,57,75,33,
1975/1976,Wolves,10,10,22,51,68,30,
1975/1976,Burnley,9,10,23,43,66,28,
1975/1976,Sheffield Utd,6,10,26,33,82,22,
1974/1975,Derby County,21,11,10,67,49,53,
1974/1975,Liverpool,20,11,11,60,39,51,
1974/1975,Ipswich Town,23,5,14,66,44,51,
1974/1975,Everton,16,18,8,56,42,50,
1974/1975,Stoke City,17,15,10,64,48,49,
1974/1975,Sheffield Utd,18,13,11,58,51,49,
1974/1975,Middlesbrough,18,12,12,54,40,48,
1974/1975,Manchester City,18,10,14,54,54,46,
1974/1975,Leeds United,16,13,13,57,49,45,
1974/1975,Burnley,17,11,14,68,67,45,
1974/1975,QPR,16,10,16,54,54,42,
1974/1975,Wolves,14,11,17,57,54,39,
1974/1975,West Ham,13,13,16,58,59,39,
1974/1975,Coventry City,12,15,15,51,62,39,
1974/1975,Newcastle Utd,15,9,18,59,72,39,
1974/1975,Arsenal,13,11,18,47,49,37,
1974/1975,Birmingham City,14,9,19,53,61,37,
1974/1975,Leicester City,12,12,18,46,60,36,
1974/1975,Tottenham,13,8,21,52,63,34,
1974/1975,Luton Town,11,11,20,47,65,33,
1974/1975,Chelsea,9,15,18,42,72,33,
1974/1975,Carlisle United,12,5,25,43,59,29,
1973/1974,Leeds United,24,14,4,66,31,62,
1973/1974,Liverpool,22,13,7,52,31,57,
1973/1974,Derby County,17,14,11,52,42,48,
1973/1974,Ipswich Town,18,11,13,67,58,47,
1973/1974,Stoke City,15,16,11,54,42,46,
1973/1974,Burnley,16,14,12,56,53,46,
1973/1974,Everton,16,12,14,50,48,44,
1973/1974,QPR,13,17,12,56,52,43,
1973/1974,Leicester City,13,16,13,51,41,42,
1973/1974,Arsenal,14,14,14,49,51,42,
1973/1974,Tottenham,14,14,14,45,50,42,
1973/1974,Wolves,13,15,14,49,49,41,
1973/1974,Sheffield Utd,14,12,16,44,49,40,
1973/1974,Manchester City,14,12,16,39,46,40,
1973/1974,Newcastle Utd,13,12,17,49,48,38,
1973/1974,Coventry City,14,10,18,43,54,38,
1973/1974,Chelsea,12,13,17,56,60,37,
1973/1974,West Ham,11,15,16,55,60,37,
1973/1974,Birmingham City,12,13,17,52,64,37,
1973/1974,Southampton,11,14,17,47,68,36,
1973/1974,Manchester Utd,10,12,20,38,48,32,
1973/1974,Norwich City,7,15,20,37,62,29,
1972/1973,Liverpool,25,10,7,72,42,60,
1972/1973,Arsenal,23,11,8,57,43,57,
1972/1973,Leeds United,21,11,10,71,45,53,
1972/1973,Ipswich Town,17,14,11,55,45,48,
1972/1973,Wolves,18,11,13,66,54,47,
1972/1973,West Ham,17,12,13,67,53,46,
1972/1973,Derby County,19,8,15,56,54,46,
1972/1973,Tottenham,16,13,13,58,48,45,
1972/1973,Newcastle Utd,16,13,13,60,51,45,
1972/1973,Birmingham City,15,12,15,53,54,42,
1972/1973,Manchester City,15,11,16,57,60,41,
1972/1973,Chelsea,13,14,15,49,51,40,
1972/1973,Southampton,11,18,13,47,52,40,
1972/1973,Sheffield Utd,15,10,17,51,59,40,
1972/1973,Stoke City,14,10,18,61,56,38,
1972/1973,Leicester City,10,17,15,40,46,37,
1972/1973,Everton,13,11,18,41,49,37,
1972/1973,Manchester Utd,12,13,17,44,60,37,
1972/1973,Coventry City,13,9,20,40,55,35,
1972/1973,Norwich City,11,10,21,36,63,32,
1972/1973,Crystal Palace,9,12,21,41,58,30,
1972/1973,West Brom,9,10,23,38,62,28,
1971/1972,Derby County,24,10,8,69,33,58,
1971/1972,Leeds United,24,9,9,73,31,57,
1971/1972,Liverpool,24,9,9,64,30,57,
1971/1972,Manchester City,23,11,8,77,45,57,
1971/1972,Arsenal,22,8,12,58,40,52,
1971/1972,Tottenham,19,13,10,63,42,51,
1971/1972,Chelsea,18,12,12,58,49,48,
1971/1972,Manchester Utd,19,10,13,69,61,48,
1971/1972,Wolves,18,11,13,65,57,47,
1971/1972,Sheffield Utd,17,12,13,61,60,46,
1971/1972,Newcastle Utd,15,11,16,49,52,41,
1971/1972,Leicester City,13,13,16,41,46,39,
1971/1972,Ipswich Town,11,16,15,39,53,38,
1971/1972,West Ham,12,12,18,47,51,36,
1971/1972,Everton,9,18,15,37,48,36,
1971/1972,West Brom,12,11,19,42,54,35,
1971/1972,Stoke City,10,15,17,39,56,35,
1971/1972,Coventry City,9,15,18,44,67,33,
1971/1972,Southampton,12,7,23,52,80,31,
1971/1972,Crystal Palace,8,13,21,39,65,29,
